return_code,payload,latency,vaidator_count
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.23758459091186523,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.2125246524810791,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.21575093269348145,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.21393537521362305,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.20784401893615723,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.2169647216796875,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.21337151527404785,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.21948528289794922,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.2165822982788086,1
401,"{'client_req_id': None, 'errors': [{'code': 4002, 'error': 'Signature verification failed'}]}",0.21206212043762207,1
